import time: self [us] | cumulative | imported package
import time:        68 |         68 |                                     pandas.compat._constants
import time:        82 |         82 |                                     pandas.compat.compressors
import time:        43 |         43 |                                         pandas.util
import time:       315 |        358 |                                       pandas.util.version
import time:       108 |        465 |                                     pandas.compat.numpy
import time:        40 |         40 |                                       pyarrow
import time:        76 |        116 |                                     pandas.compat.pyarrow
import time:       135 |        863 |                                   pandas.compat
import time:      1244 |       1244 |                                       pandas._typing
import time:        78 |         78 |                                       pandas.util._exceptions
import time:       399 |       1721 |                                     pandas._config.config
import time:       118 |        118 |                                     pandas._config.dates
import time:        69 |         69 |                                     pandas._config.display
import time:       117 |       2023 |                                   pandas._config
import time:        50 |         50 |                                     pandas.core
import time:       456 |        506 |                                   pandas.core.config_init
import time:       128 |        128 |                                       pandas._libs.pandas_parser
import time:        80 |         80 |                                           numpy._core
import time:       118 |        197 |                                         numpy._core._multiarray_umath
import time:       107 |        303 |                                       pandas._libs.pandas_datetime
import time:        98 |         98 |                                                   pandas._libs.tslibs.ccalendar
import time:       142 |        142 |                                                   pandas._libs.tslibs.np_datetime
import time:       450 |        689 |                                                 pandas._libs.tslibs.dtypes
import time:        93 |         93 |                                                   pandas._libs.tslibs.base
import time:       181 |        181 |                                                       pandas._libs.tslibs.nattype
import time:        92 |         92 |                                                           pandas.compat._optional
import time:       106 |        106 |                                                             zoneinfo._tzpath
import time:        86 |         86 |                                                             zoneinfo._common
import time:       115 |        115 |                                                             _zoneinfo
import time:       138 |        444 |                                                           zoneinfo
import time:       758 |        758 |                                                               six
import time:        22 |         22 |                                                               six.moves
import time:       110 |        110 |                                                               dateutil.tz._common
import time:        83 |         83 |                                                               dateutil.tz._factories
import time:        13 |         13 |                                                                 six.moves.winreg
import time:       132 |        144 |                                                               dateutil.tz.win
import time:       377 |       1492 |                                                             dateutil.tz.tz
import time:        92 |       1583 |                                                           dateutil.tz
import time:        43 |         43 |                                                               pwd
import time:        21 |         21 |                                                               grp
import time:       543 |        606 |                                                             tarfile
import time:       198 |        198 |                                                             pkgutil
import time:       128 |        931 |                                                           dateutil.zoneinfo
import time:       209 |        209 |                                                           gzip
import time:     35093 |      38350 |                                                         pandas._libs.tslibs.timezones
import time:       435 |        435 |                                                           _strptime
import time:       103 |        103 |                                                           pandas._config.localization
import time:       433 |        970 |                                                         pandas._libs.tslibs.fields
import time:       482 |      39801 |                                                       pandas._libs.tslibs.timedeltas
import time:       260 |        260 |                                                       pandas._libs.tslibs.tzconversion
import time:        59 |         59 |                                                       backports_abc
import time:       462 |      40760 |                                                     pandas._libs.tslibs.timestamps
import time:        41 |         41 |                                                     backports_abc
import time:       133 |        133 |                                                     pandas._libs.properties
import time:      1174 |      42106 |                                                   pandas._libs.tslibs.offsets
import time:        52 |         52 |                                                     backports_abc
import time:        89 |         89 |                                                         dateutil._common
import time:       445 |        533 |                                                       dateutil.parser._parser
import time:       140 |        140 |                                                       dateutil.parser.isoparser
import time:       148 |        820 |                                                     dateutil.parser
import time:       366 |        366 |                                                     pandas._libs.tslibs.strptime
import time:       445 |       1682 |                                                   pandas._libs.tslibs.parsing
import time:       279 |      44160 |                                                 pandas._libs.tslibs.conversion
import time:       335 |        335 |                                                 pandas._libs.tslibs.period
import time:       188 |        188 |                                                 pandas._libs.tslibs.vectorized
import time:       153 |      45523 |                                               pandas._libs.tslibs
import time:        29 |      45551 |                                             pandas._libs.tslibs.nattype
import time:       105 |        105 |                                             pandas._libs.ops_dispatch
import time:       194 |      45849 |                                           pandas._libs.missing
import time:       458 |      46307 |                                         pandas._libs.hashtable
import time:       323 |        323 |                                         pandas._libs.algos
import time:       323 |      46952 |                                       pandas._libs.interval
import time:       105 |      47488 |                                     pandas._libs
import time:        68 |         68 |                                       pandas.core.dtypes
import time:        51 |         51 |                                         pyarrow
import time:       471 |        521 |                                       pandas._libs.lib
import time:       302 |        302 |                                       pandas.errors
import time:       167 |        167 |                                         pandas.core.dtypes.generic
import time:       181 |        348 |                                       pandas.core.dtypes.base
import time:        92 |         92 |                                       pandas.core.dtypes.inference
import time:       740 |       2069 |                                     pandas.core.dtypes.dtypes
import time:       170 |        170 |                                       pandas.core.dtypes.common
import time:       148 |        318 |                                     pandas.core.dtypes.missing
import time:       103 |        103 |                                       pandas.util._decorators
import time:        62 |         62 |                                           pandas.io
import time:        99 |        161 |                                         pandas.io._util
import time:       295 |        455 |                                       pandas.core.dtypes.cast
import time:       112 |        112 |                                         pandas.core.dtypes.astype
import time:        93 |        205 |                                       pandas.core.dtypes.concat
import time:        52 |         52 |                                         pandas.core.array_algos
import time:       111 |        111 |                                           pandas.core.common
import time:       107 |        218 |                                         pandas.core.construction
import time:       148 |        418 |                                       pandas.core.array_algos.take
import time:        86 |         86 |                                         pandas.core.indexers.utils
import time:        67 |        152 |                                       pandas.core.indexers
import time:       294 |       1625 |                                     pandas.core.algorithms
import time:       159 |        159 |                                         pandas.core.arrays.arrow.accessors
import time:       134 |        134 |                                           pandas.util._validators
import time:       148 |        148 |                                           pandas.core.missing
import time:       180 |        180 |                                               pandas._libs.ops
import time:        62 |         62 |                                               pandas.core.roperator
import time:        49 |         49 |                                               pandas.core.computation
import time:       136 |        136 |                                                 pandas.core.computation.check
import time:       120 |        255 |                                               pandas.core.computation.expressions
import time:        53 |         53 |                                               pandas.core.ops.missing
import time:        49 |         49 |                                               pandas.core.ops.dispatch
import time:        48 |         48 |                                               pandas.core.ops.invalid
import time:       215 |        908 |                                             pandas.core.ops.array_ops
import time:        54 |         54 |                                             pandas.core.ops.common
import time:        75 |         75 |                                             pandas.core.ops.docstrings
import time:        52 |         52 |                                             pandas.core.ops.mask_ops
import time:       100 |       1187 |                                           pandas.core.ops
import time:       127 |        127 |                                           pandas.core.arraylike
import time:        68 |         68 |                                           pandas.core.arrays._arrow_string_mixins
import time:        50 |         50 |                                           pandas.core.arrays._utils
import time:       146 |        146 |                                             pandas.compat.numpy.function
import time:        68 |         68 |                                             pandas.core.array_algos.quantile
import time:       109 |        109 |                                             pandas.core.sorting
import time:       661 |        983 |                                           pandas.core.arrays.base
import time:       378 |        378 |                                             pandas.core.nanops
import time:        59 |         59 |                                             pandas.core.array_algos.masked_accumulations
import time:        61 |         61 |                                             pandas.core.array_algos.masked_reductions
import time:        50 |         50 |                                               pandas.core.util
import time:       168 |        168 |                                               pandas._libs.hashing
import time:       123 |        340 |                                             pandas.core.util.hashing
import time:       466 |       1302 |                                           pandas.core.arrays.masked
import time:       129 |        129 |                                             pandas._libs.arrays
import time:        99 |         99 |                                               pandas.core.arrays.numeric
import time:       171 |        270 |                                             pandas.core.arrays.floating
import time:       130 |        130 |                                             pandas.core.arrays.integer
import time:        46 |         46 |                                                 pandas.core.array_algos.transforms
import time:       241 |        286 |                                               pandas.core.arrays._mixins
import time:        48 |         48 |                                                 pandas.core.strings
import time:       102 |        102 |                                                 pandas.core.strings.base
import time:       241 |        390 |                                               pandas.core.strings.object_array
import time:       149 |        824 |                                             pandas.core.arrays.numpy_
import time:       268 |       1619 |                                           pandas.core.arrays.string_
import time:        58 |         58 |                                             pandas.tseries
import time:       181 |        238 |                                           pandas.tseries.frequencies
import time:       665 |       6516 |                                         pandas.core.arrays.arrow.array
import time:        97 |       6771 |                                       pandas.core.arrays.arrow
import time:       123 |        123 |                                       pandas.core.arrays.boolean
import time:       192 |        192 |                                         pandas.core.accessor
import time:       289 |        289 |                                         pandas.core.base
import time:        57 |         57 |                                         pandas.io.formats
import time:        76 |         76 |                                         pandas.io.formats.console
import time:       426 |       1038 |                                       pandas.core.arrays.categorical
import time:       228 |        228 |                                         pandas._libs.tslib
import time:        75 |         75 |                                           pandas.core.array_algos.datetimelike_accumulations
import time:       621 |        696 |                                         pandas.core.arrays.datetimelike
import time:        71 |         71 |                                         pandas.core.arrays._ranges
import time:        60 |         60 |                                         pandas.tseries.offsets
import time:       316 |       1368 |                                       pandas.core.arrays.datetimes
import time:       215 |        215 |                                         pandas.core.arrays.timedeltas
import time:       652 |        866 |                                       pandas.core.arrays.interval
import time:       281 |        281 |                                       pandas.core.arrays.period
import time:       265 |        265 |                                             pandas._libs.sparse
import time:       174 |        174 |                                             pandas.io.formats.printing
import time:       288 |        726 |                                           pandas.core.arrays.sparse.array
import time:       144 |        870 |                                         pandas.core.arrays.sparse.accessor
import time:        77 |        946 |                                       pandas.core.arrays.sparse
import time:       496 |        496 |                                       pandas.core.arrays.string_arrow
import time:       164 |      12052 |                                     pandas.core.arrays
import time:        79 |         79 |                                     pandas.core.flags
import time:        54 |         54 |                                             backports_abc
import time:       295 |        349 |                                           pandas._libs.internals
import time:        60 |         60 |                                             pandas.core._numba
import time:       122 |        181 |                                           pandas.core._numba.executor
import time:       360 |        889 |                                         pandas.core.apply
import time:       114 |        114 |                                               pandas._libs.indexing
import time:        61 |         61 |                                                 pandas.core.indexes
import time:        52 |         52 |                                                     backports_abc
import time:       432 |        483 |                                                   pandas._libs.index
import time:       200 |        200 |                                                   pandas._libs.writers
import time:       181 |        181 |                                                   pandas._libs.join
import time:        76 |         76 |                                                   pandas.core.array_algos.putmask
import time:        77 |         77 |                                                   pandas.core.indexes.frozen
import time:      1844 |       1844 |                                                   pandas.core.strings.accessor
import time:       983 |       3842 |                                                 pandas.core.indexes.base
import time:       109 |        109 |                                                   pandas.core.indexes.extension
import time:       174 |        282 |                                                 pandas.core.indexes.category
import time:       256 |        256 |                                                     pandas.core.indexes.range
import time:        56 |         56 |                                                       pandas.core.tools
import time:       106 |        161 |                                                     pandas.core.tools.timedeltas
import time:       405 |        822 |                                                   pandas.core.indexes.datetimelike
import time:        62 |         62 |                                                   pandas.core.tools.times
import time:       706 |       1589 |                                                 pandas.core.indexes.datetimes
import time:       565 |        565 |                                                   pandas.core.indexes.multi
import time:       130 |        130 |                                                   pandas.core.indexes.timedeltas
import time:       425 |       1119 |                                                 pandas.core.indexes.interval
import time:       263 |        263 |                                                 pandas.core.indexes.period
import time:       220 |       7375 |                                               pandas.core.indexes.api
import time:       642 |       8129 |                                             pandas.core.indexing
import time:        71 |         71 |                                             pandas.core.sample
import time:        61 |         61 |                                             pandas.core.array_algos.replace
import time:       361 |        361 |                                                 pandas.core.internals.blocks
import time:        92 |        452 |                                               pandas.core.internals.api
import time:       155 |        155 |                                                 pandas.core.internals.base
import time:       200 |        200 |                                                   pandas.core.internals.ops
import time:       280 |        479 |                                                 pandas.core.internals.managers
import time:       251 |        883 |                                               pandas.core.internals.array_manager
import time:       122 |        122 |                                               pandas.core.internals.concat
import time:        88 |       1543 |                                             pandas.core.internals
import time:       133 |        133 |                                             pandas.core.internals.construction
import time:        52 |         52 |                                               pandas.core.methods
import time:        47 |         47 |                                                 pandas.core.reshape
import time:       149 |        195 |                                               pandas.core.reshape.concat
import time:       138 |        138 |                                                   mmap
import time:        67 |         67 |                                                   pandas.core.shared_docs
import time:       796 |       1000 |                                                 pandas.io.common
import time:       325 |       1324 |                                               pandas.io.formats.format
import time:       222 |       1793 |                                             pandas.core.methods.describe
import time:       206 |        206 |                                                   pandas._libs.window
import time:       274 |        479 |                                                 pandas._libs.window.aggregations
import time:       149 |        149 |                                                   pandas._libs.window.indexers
import time:       226 |        374 |                                                 pandas.core.indexers.objects
import time:        67 |         67 |                                                 pandas.core.util.numba_
import time:        67 |         67 |                                                 pandas.core.window.common
import time:        92 |         92 |                                                 pandas.core.window.doc
import time:        73 |         73 |                                                 pandas.core.window.numba_
import time:        58 |         58 |                                                 pandas.core.window.online
import time:       910 |        910 |                                                 pandas.core.window.rolling
import time:       409 |       2525 |                                               pandas.core.window.ewm
import time:       509 |        509 |                                               pandas.core.window.expanding
import time:       100 |       3134 |                                             pandas.core.window
import time:      2785 |      17646 |                                           pandas.core.generic
import time:       113 |        113 |                                           pandas.core.methods.selectn
import time:        50 |         50 |                                             pandas.core.reshape.util
import time:        66 |         66 |                                             pandas.core.tools.numeric
import time:       155 |        270 |                                           pandas.core.reshape.melt
import time:       190 |        190 |                                             pandas._libs.reshape
import time:       600 |        600 |                                             pandas.core.indexes.accessors
import time:        62 |         62 |                                               pandas.arrays
import time:       351 |        413 |                                             pandas.core.tools.datetimes
import time:       390 |        390 |                                             pandas.io.formats.info
import time:       569 |        569 |                                               pandas.plotting._core
import time:       109 |        109 |                                               pandas.plotting._misc
import time:        98 |        775 |                                             pandas.plotting
import time:      1752 |       4117 |                                           pandas.core.series
import time:      3417 |      25561 |                                         pandas.core.frame
import time:       472 |        472 |                                         pandas.core.groupby.base
import time:        52 |         52 |                                             backports_abc
import time:       413 |        464 |                                           pandas._libs.groupby
import time:        51 |         51 |                                             pandas.core.groupby.categorical
import time:       185 |        236 |                                           pandas.core.groupby.grouper
import time:       278 |        977 |                                         pandas.core.groupby.ops
import time:        80 |         80 |                                           pandas.core.groupby.numba_
import time:       150 |        150 |                                           pandas.core.groupby.indexing
import time:      1047 |       1276 |                                         pandas.core.groupby.groupby
import time:       911 |      30085 |                                       pandas.core.groupby.generic
import time:        76 |      30161 |                                     pandas.core.groupby
import time:       133 |      93920 |                                   pandas.core.api
import time:        70 |         70 |                                   pandas.tseries.api
import time:        44 |         44 |                                           pandas.core.computation.common
import time:        87 |        130 |                                         pandas.core.computation.align
import time:       108 |        108 |                                           pandas.core.computation.scope
import time:       231 |        338 |                                         pandas.core.computation.ops
import time:       101 |        568 |                                       pandas.core.computation.engines
import time:        55 |         55 |                                         pandas.core.computation.parsing
import time:       490 |        545 |                                       pandas.core.computation.expr
import time:       136 |       1248 |                                     pandas.core.computation.eval
import time:        70 |       1318 |                                   pandas.core.computation.api
import time:       147 |        147 |                                     pandas.core.reshape.encoding
import time:       438 |        438 |                                     pandas.core.reshape.merge
import time:       338 |        338 |                                     pandas.core.reshape.pivot
import time:        96 |         96 |                                     pandas.core.reshape.tile
import time:       225 |       1242 |                                   pandas.core.reshape.api
import time:        76 |         76 |                                     pandas.api.extensions
import time:        48 |         48 |                                     pandas.api.indexers
import time:        37 |         37 |                                         pandas.core.interchange
import time:       392 |        429 |                                       pandas.core.interchange.dataframe_protocol
import time:        89 |         89 |                                         pandas.core.interchange.utils
import time:       128 |        217 |                                       pandas.core.interchange.from_dataframe
import time:        69 |        714 |                                     pandas.api.interchange
import time:        51 |         51 |                                       pandas.core.dtypes.api
import time:        69 |        119 |                                     pandas.api.types
import time:       700 |        700 |                                       pandas.core.resample
import time:       118 |        118 |                                             pandas._libs.json
import time:        95 |         95 |                                             pandas.io.json._normalize
import time:        83 |         83 |                                             pandas.io.json._table_schema
import time:        53 |         53 |                                                     backports_abc
import time:       357 |        409 |                                                   pandas._libs.parsers
import time:       276 |        276 |                                                     pandas.io.parsers.base_parser
import time:       514 |        789 |                                                   pandas.io.parsers.arrow_parser_wrapper
import time:       107 |        107 |                                                   pandas.io.parsers.c_parser_wrapper
import time:       184 |        184 |                                                   pandas.io.parsers.python_parser
import time:     12515 |      14003 |                                                 pandas.io.parsers.readers
import time:       106 |      14109 |                                               pandas.io.parsers
import time:        14 |      14122 |                                             pandas.io.parsers.readers
import time:       544 |      14961 |                                           pandas.io.json._json
import time:        81 |      15041 |                                         pandas.io.json
import time:        12 |      15053 |                                       pandas.io.json._json
import time:       813 |        813 |                                       pandas.io.stata
import time:       108 |      16671 |                                     pandas.api.typing
import time:       111 |      17738 |                                   pandas.api
import time:        80 |         80 |                                         pandas._testing.contexts
import time:       110 |        189 |                                       pandas._testing._io
import time:        70 |         70 |                                       pandas._testing._warnings
import time:        31 |         31 |                                           cmath
import time:       209 |        239 |                                         pandas._libs.testing
import time:       164 |        403 |                                       pandas._testing.asserters
import time:        67 |         67 |                                       pandas._testing.compat
import time:       252 |        979 |                                     pandas._testing
import time:        86 |       1064 |                                   pandas.testing
import time:        78 |         78 |                                   pandas.util._print_versions
import time:        61 |         61 |                                     pandas.io.clipboards
import time:        73 |         73 |                                         pandas.io.excel._util
import time:       144 |        144 |                                         pandas.io.excel._calamine
import time:       119 |        119 |                                         pandas.io.excel._odfreader
import time:       215 |        215 |                                         pandas.io.excel._openpyxl
import time:        90 |         90 |                                         pandas.io.excel._pyxlsb
import time:       106 |        106 |                                         pandas.io.excel._xlrd
import time:       814 |       1559 |                                       pandas.io.excel._base
import time:       103 |        103 |                                       pandas.io.excel._odswriter
import time:       101 |        101 |                                       pandas.io.excel._xlsxwriter
import time:        82 |       1843 |                                     pandas.io.excel
import time:       107 |        107 |                                     pandas.io.feather_format
import time:        60 |         60 |                                     pandas.io.gbq
import time:       394 |        394 |                                     pandas.io.html
import time:        94 |         94 |                                     pandas.io.orc
import time:       257 |        257 |                                     pandas.io.parquet
import time:        96 |         96 |                                       pandas.compat.pickle_compat
import time:       154 |        249 |                                     pandas.io.pickle
import time:       277 |        277 |                                       pandas.core.computation.pytables
import time:       780 |       1057 |                                     pandas.io.pytables
import time:       129 |        129 |                                       pandas.io.sas.sasreader
import time:        85 |        213 |                                     pandas.io.sas
import time:        56 |         56 |                                     pandas.io.spss
import time:       422 |        422 |                                     pandas.io.sql
import time:       370 |        370 |                                     pandas.io.xml
import time:       215 |       5392 |                                   pandas.io.api
import time:        61 |         61 |                                   pandas.util._tester
import time:        46 |         46 |                                   pandas._version_meson
import time:       237 |     125489 |                                 pandas
import time:       131 |        131 |                                     mpmath.usertools
import time:        45 |         45 |                                                 gmpy2
import time:        40 |         40 |                                                 gmpy
import time:        86 |        169 |                                               mpmath.libmp.backend
import time:       209 |        209 |                                               mpmath.libmp.libintmath
import time:       296 |        674 |                                             mpmath.libmp.libmpf
import time:       171 |        171 |                                               mpmath.libmp.libelefun
import time:       143 |        314 |                                             mpmath.libmp.libmpc
import time:       386 |        386 |                                               mpmath.libmp.gammazeta
import time:       155 |        540 |                                             mpmath.libmp.libhyper
import time:       132 |        132 |                                             mpmath.libmp.libmpi
import time:       163 |       1821 |                                           mpmath.libmp
import time:        12 |       1832 |                                         mpmath.libmp.backend
import time:       136 |        136 |                                             mpmath.functions.functions
import time:        62 |         62 |                                             mpmath.functions.factorials
import time:       454 |        454 |                                             mpmath.functions.hypergeometric
import time:       101 |        101 |                                             mpmath.functions.expintegrals
import time:       125 |        125 |                                             mpmath.functions.bessel
import time:       106 |        106 |                                             mpmath.functions.orthogonal
import time:        67 |         67 |                                             mpmath.functions.theta
import time:       105 |        105 |                                             mpmath.functions.elliptic
import time:        49 |         49 |                                             mpmath.functions.signals
import time:       117 |        117 |                                             mpmath.functions.zeta
import time:       103 |        103 |                                             mpmath.functions.rszeta
import time:       135 |        135 |                                             mpmath.functions.zetazeros
import time:        54 |         54 |                                             mpmath.functions.qfunctions
import time:       300 |       1907 |                                           mpmath.functions
import time:         9 |       1916 |                                         mpmath.functions.functions
import time:        64 |         64 |                                             mpmath.calculus.calculus
import time:        57 |         57 |                                             mpmath.calculus.approximation
import time:        74 |         74 |                                             mpmath.calculus.differentiation
import time:       188 |        188 |                                             mpmath.calculus.extrapolation
import time:        63 |         63 |                                             mpmath.calculus.polynomials
import time:       135 |        578 |                                           mpmath.calculus
import time:       130 |        708 |                                         mpmath.calculus.quadrature
import time:       111 |        111 |                                         mpmath.calculus.inverselaplace
import time:       133 |        133 |                                         mpmath.calculus.optimization
import time:        63 |         63 |                                         mpmath.calculus.odes
import time:       126 |        126 |                                             mpmath.matrices.eigen
import time:        86 |         86 |                                             mpmath.matrices.eigen_symmetric
import time:        83 |        294 |                                           mpmath.matrices
import time:       109 |        403 |                                         mpmath.matrices.matrices
import time:        70 |         70 |                                         mpmath.matrices.calculus
import time:        89 |         89 |                                         mpmath.matrices.linalg
import time:        99 |         99 |                                         mpmath.identification
import time:        96 |         96 |                                           colorsys
import time:        94 |        190 |                                         mpmath.visualization
import time:       230 |       5838 |                                       mpmath.ctx_base
import time:        97 |         97 |                                       mpmath.math2
import time:       206 |        206 |                                       mpmath.function_docs
import time:       166 |       6306 |                                     mpmath.ctx_fp
import time:       138 |        138 |                                       mpmath.rational
import time:       909 |        909 |                                       mpmath.ctx_mp_python
import time:       409 |       1455 |                                     mpmath.ctx_mp
import time:       232 |        232 |                                     mpmath.ctx_iv
import time:       717 |       8840 |                                   mpmath
import time:       100 |        100 |                                   sympy.release
import time:        95 |         95 |                                                 sympy.utilities.enumerative
import time:       134 |        134 |                                                 sympy.utilities.misc
import time:        77 |         77 |                                                   sympy.utilities.exceptions
import time:       102 |        178 |                                                 sympy.utilities.decorator
import time:       268 |        674 |                                               sympy.utilities.iterables
import time:       161 |        161 |                                                   sympy.external.importtools
import time:        76 |        237 |                                                 sympy.external
import time:       172 |        408 |                                               sympy.utilities.lambdify
import time:       339 |        339 |                                                 timeit
import time:        89 |        428 |                                               sympy.utilities.timeutils
import time:        71 |       1579 |                                             sympy.utilities
import time:        10 |       1589 |                                           sympy.utilities.iterables
import time:       100 |       1689 |                                         sympy.core.random
import time:        85 |         85 |                                           sympy.core.cache
import time:       106 |        190 |                                         sympy.core.parameters
import time:       136 |        136 |                                               sympy.core.logic
import time:       136 |        271 |                                             sympy.core.facts
import time:       152 |        152 |                                             sympy.core.assumptions_generated
import time:       140 |        562 |                                           sympy.core.assumptions
import time:        68 |         68 |                                           sympy.core.sorting
import time:        43 |         43 |                                                       sympy.multipledispatch.utils
import time:        77 |        119 |                                                     sympy.multipledispatch.conflict
import time:       106 |        225 |                                                   sympy.multipledispatch.dispatcher
import time:       128 |        352 |                                                 sympy.multipledispatch.core
import time:        51 |        403 |                                               sympy.multipledispatch
import time:         9 |        411 |                                             sympy.multipledispatch.dispatcher
import time:       115 |        526 |                                           sympy.core.kind
import time:        60 |         60 |                                           sympy.core._print_helpers
import time:        48 |         48 |                                             sympy.core.core
import time:        92 |        139 |                                           sympy.core.singleton
import time:        72 |         72 |                                           sympy.core.traversal
import time:       454 |       1877 |                                         sympy.core.basic
import time:       186 |       3941 |                                       sympy.core.sympify
import time:       385 |        385 |                                               fractions
import time:       104 |        489 |                                             sympy.external.pythonmpq
import time:        90 |         90 |                                             sympy.external.ntheory
import time:        46 |         46 |                                             flint
import time:        40 |         40 |                                             gmpy2
import time:       140 |        804 |                                           sympy.external.gmpy
import time:       262 |       1065 |                                         sympy.core.evalf
